Height (cm),Weight (kg),Shoulder Width (cm),Waist Width (cm),Arm Width (cm),Chest Width (cm),Leg Width (cm),Body Type (Label)
186.1,69.6,38.1,79.8,32.0,97.6,53.9,Endomorph
178.7,55.9,43.8,73.9,27.4,87.8,48.9,Ectomorph
155.5,66.4,42.7,79.0,34.0,99.5,57.9,Endomorph
179.4,63.9,42.2,75.2,26.4,95.1,53.6,Mesomorph
159.3,63.2,48.5,68.4,34.6,98.3,52.0,Mesomorph
151.2,51.1,37.4,77.5,27.9,89.7,41.2,Ectomorph
168.3,50.5,41.0,64.7,23.4,81.8,45.4,Ectomorph
155.4,53.3,44.0,60.1,22.9,81.9,41.9,Ectomorph
185.7,53.3,41.6,67.0,20.4,84.4,41.5,Ectomorph
167.5,70.8,40.0,67.9,31.2,100.4,53.6,Mesomorph
176.0,97.0,41.6,88.7,28.6,101.1,57.9,Endomorph
159.0,57.6,40.6,76.8,25.9,94.3,49.6,Ectomorph
152.0,91.0,42.2,83.1,34.9,100.1,50.7,Endomorph
166.4,79.6,48.0,83.7,25.9,90.0,51.9,Mesomorph
164.3,84.1,48.2,79.5,31.9,93.4,58.7,Mesomorph
177.5,75.4,40.1,91.3,25.8,102.0,61.3,Endomorph
180.5,86.5,43.3,76.4,29.8,90.9,64.7,Endomorph
172.9,69.7,43.9,77.2,28.0,105.6,52.2,Mesomorph
163.4,72.8,43.6,66.9,28.0,99.7,56.6,Mesomorph
174.3,70.7,45.0,70.2,25.3,103.0,53.8,Mesomorph
156.9,67.7,40.2,95.4,30.6,101.5,54.6,Endomorph
156.2,60.7,42.3,67.5,32.2,101.8,53.6,Mesomorph
151.7,63.2,42.5,71.0,29.9,108.1,55.8,Mesomorph
183.8,83.9,40.8,87.5,33.3,112.3,64.4,Endomorph
177.1,66.6,43.0,78.4,33.7,97.3,56.1,Endomorph
170.1,79.6,44.8,65.2,30.9,91.6,59.4,Mesomorph
168.5,75.7,38.5,79.2,30.2,99.0,62.8,Endomorph
186.7,75.6,43.3,69.9,30.1,109.0,57.3,Mesomorph
156.5,76.7,40.0,83.1,28.2,105.7,62.8,Endomorph
171.8,62.2,44.8,68.8,25.9,91.8,44.0,Ectomorph
165.0,55.3,42.1,74.3,34.2,96.8,56.7,Mesomorph
173.9,72.0,49.1,65.8,29.0,92.7,57.0,Mesomorph
173.4,59.0,42.7,70.4,25.1,83.8,41.2,Ectomorph
157.6,76.1,47.3,83.6,32.7,90.9,55.4,Mesomorph
179.0,74.8,42.5,65.2,27.1,94.5,57.2,Mesomorph
162.3,57.1,42.7,75.0,25.1,100.8,56.8,Mesomorph
166.2,55.0,41.8,69.6,24.1,86.0,43.6,Ectomorph
185.2,78.5,42.7,74.9,25.1,108.2,51.0,Mesomorph
171.3,59.5,40.9,67.1,30.5,107.3,57.6,Mesomorph
162.5,94.7,41.9,96.4,33.3,95.3,63.1,Endomorph
168.6,59.1,44.7,77.6,27.4,90.3,55.4,Mesomorph
161.6,93.3,44.9,97.0,29.3,114.3,51.8,Endomorph
179.9,62.6,39.9,66.2,27.1,84.6,48.7,Ectomorph
179.9,67.3,40.7,69.0,34.0,100.7,53.2,Mesomorph
182.3,58.7,38.4,72.2,21.4,82.3,49.0,Ectomorph
154.4,56.4,38.2,64.6,22.5,86.4,41.4,Ectomorph
185.4,59.0,43.3,64.8,21.7,81.7,49.9,Ectomorph
188.3,79.5,40.6,86.6,26.6,90.3,57.8,Endomorph
174.3,63.8,41.9,76.8,21.9,89.7,45.8,Ectomorph
162.2,60.2,44.7,85.0,29.9,91.9,56.5,Endomorph
158.7,59.2,42.2,67.2,22.7,87.0,42.7,Ectomorph
164.3,52.6,35.1,73.3,27.4,86.9,48.7,Ectomorph
163.4,53.4,38.6,79.4,25.6,92.7,48.1,Ectomorph
179.5,79.8,44.4,85.9,25.1,112.7,51.7,Endomorph
168.4,67.4,46.5,99.7,30.1,105.7,53.3,Endomorph
151.1,74.5,44.8,75.5,29.8,98.1,57.3,Endomorph
171.3,66.1,40.2,82.9,25.9,110.6,53.9,Endomorph
162.6,80.8,41.3,89.7,34.1,103.5,59.1,Endomorph
171.5,52.7,43.5,68.4,27.3,87.4,41.0,Ectomorph
170.1,60.0,44.3,79.1,33.7,91.6,52.2,Mesomorph
150.1,50.2,35.6,65.4,26.7,91.2,49.4,Ectomorph
178.2,79.4,41.7,65.2,31.9,91.7,57.8,Mesomorph
156.7,62.4,40.9,70.0,27.6,92.3,54.1,Mesomorph
163.8,58.4,44.5,69.4,27.5,108.9,55.8,Mesomorph
174.4,51.5,35.9,70.8,24.6,86.0,47.9,Ectomorph
157.4,63.5,47.6,73.1,33.6,103.3,52.0,Mesomorph
189.9,69.4,43.8,65.2,27.4,90.8,53.2,Mesomorph
174.3,76.0,45.0,78.5,34.2,113.3,51.2,Endomorph
166.9,64.3,42.0,66.7,31.1,96.6,52.5,Mesomorph
155.0,71.9,43.0,79.6,30.0,103.1,57.2,Endomorph
165.8,50.6,36.3,70.1,23.6,81.4,42.5,Ectomorph
161.9,63.0,42.0,70.5,25.2,108.3,52.8,Mesomorph
161.5,65.5,42.3,72.2,34.1,104.6,55.4,Mesomorph
170.6,81.8,42.1,74.6,28.1,98.2,51.7,Mesomorph
186.9,69.6,42.6,78.4,22.2,83.3,42.7,Ectomorph
157.0,76.0,47.6,83.7,28.5,113.7,54.9,Endomorph
172.7,89.7,43.9,88.4,25.9,104.5,52.3,Endomorph
173.7,76.1,42.7,74.2,26.0,95.7,51.4,Mesomorph
159.4,72.8,40.1,65.9,33.5,98.7,56.9,Mesomorph
154.5,84.2,47.2,76.8,25.6,90.2,54.4,Endomorph
173.2,90.6,44.6,92.9,34.5,99.0,52.8,Endomorph
167.7,67.9,42.7,73.9,29.7,96.8,56.7,Mesomorph
150.1,71.9,44.4,90.8,30.7,108.3,61.2,Endomorph
183.7,79.2,39.4,92.4,30.5,111.6,50.7,Endomorph
160.7,82.7,42.6,86.5,31.2,107.8,51.2,Endomorph
188.5,64.9,41.7,74.4,25.5,92.8,42.2,Ectomorph
182.5,74.6,42.6,75.5,34.8,108.6,50.8,Mesomorph
168.7,76.2,40.8,80.4,32.2,93.2,53.9,Endomorph
174.6,49.0,35.5,74.2,22.6,85.4,46.2,Ectomorph
160.9,60.6,42.4,65.8,23.5,92.9,49.8,Ectomorph
161.4,66.8,41.3,66.2,25.8,92.0,54.6,Mesomorph
151.9,45.4,39.1,61.7,27.1,91.1,47.8,Ectomorph
179.7,93.0,41.3,83.4,31.8,105.4,55.5,Endomorph
181.7,71.7,41.5,82.2,26.0,91.6,59.0,Endomorph
184.5,70.0,44.2,82.2,29.2,113.6,53.3,Endomorph
168.3,75.5,43.4,90.6,34.1,109.4,63.0,Endomorph
176.3,78.6,48.6,74.4,34.2,96.6,53.8,Mesomorph
174.9,66.7,43.2,65.7,26.3,108.7,57.7,Mesomorph
184.9,90.3,45.3,79.2,25.2,93.2,63.4,Endomorph
156.7,58.8,40.8,61.3,23.0,93.7,41.1,Ectomorph
165.1,66.6,40.8,66.9,32.6,105.5,55.3,Mesomorph
189.8,77.0,41.3,65.1,33.5,100.0,50.3,Mesomorph
158.4,78.4,41.6,88.8,33.7,105.7,57.3,Endomorph
166.2,63.2,42.6,79.0,26.8,87.7,42.1,Ectomorph
189.9,78.2,43.0,73.9,33.4,100.2,50.7,Mesomorph
154.1,52.0,43.2,61.0,24.6,81.6,49.1,Ectomorph
164.5,62.3,36.8,62.3,22.6,90.0,44.8,Ectomorph
164.9,69.5,42.3,67.9,26.8,109.8,50.1,Mesomorph
188.8,74.8,44.0,73.4,32.4,99.4,51.1,Mesomorph
157.4,68.4,44.9,95.6,28.9,96.1,52.7,Endomorph
182.5,73.0,39.6,83.7,27.2,110.3,51.8,Endomorph
152.0,60.8,39.5,87.1,26.6,108.8,58.3,Endomorph
177.7,66.1,39.3,83.6,28.7,112.9,62.3,Endomorph
180.6,58.0,41.8,75.3,25.1,94.9,46.2,Ectomorph
150.6,47.7,36.0,62.8,26.0,88.1,47.7,Ectomorph
189.7,47.8,37.6,78.6,27.8,86.4,42.8,Ectomorph
183.2,60.8,38.2,72.8,26.4,89.5,41.2,Ectomorph
179.3,52.8,36.0,74.0,21.2,94.9,41.1,Ectomorph
189.9,71.2,40.2,69.9,32.4,102.3,55.1,Mesomorph
164.8,81.2,40.8,84.5,33.5,104.2,56.8,Endomorph
168.0,61.9,42.2,76.4,22.7,94.2,44.2,Ectomorph
160.4,56.1,44.8,63.2,22.6,84.2,45.7,Ectomorph
182.2,84.0,44.6,82.5,33.0,99.3,63.6,Endomorph
155.4,51.1,38.5,74.7,21.3,90.6,43.6,Ectomorph
172.9,74.3,41.8,81.1,29.6,103.1,61.9,Endomorph
181.8,63.3,44.8,67.6,24.5,94.8,43.1,Ectomorph
166.1,52.3,38.4,68.2,23.9,87.0,43.9,Ectomorph
185.6,86.5,45.1,69.0,29.7,98.4,50.9,Mesomorph
169.0,67.5,43.6,71.1,30.4,106.1,53.0,Mesomorph
166.3,50.3,39.3,72.1,22.9,83.0,41.8,Ectomorph
159.8,64.9,45.8,77.5,32.1,103.8,59.8,Mesomorph
176.5,86.2,40.3,85.4,28.3,107.8,54.2,Endomorph
166.4,74.1,43.3,69.8,28.6,99.7,58.0,Mesomorph
152.2,55.5,44.0,68.7,24.2,91.9,40.8,Ectomorph
157.9,59.0,41.7,67.2,34.9,102.5,54.0,Mesomorph
177.7,62.1,45.1,68.5,32.1,90.6,57.7,Mesomorph
158.4,51.9,36.7,61.9,24.5,82.8,46.3,Ectomorph
189.5,89.5,45.8,90.8,30.1,107.3,58.4,Endomorph
170.5,73.6,49.2,69.8,30.7,99.2,50.1,Mesomorph
151.1,58.9,47.3,71.8,28.1,103.6,58.9,Mesomorph
189.0,83.4,43.1,75.3,28.8,94.5,56.6,Endomorph
164.2,51.5,40.9,76.3,23.1,81.3,46.0,Ectomorph
175.6,78.6,45.8,84.1,28.5,109.4,57.9,Endomorph
177.8,57.5,44.6,74.2,21.8,91.4,40.9,Ectomorph
179.6,73.2,41.9,66.6,34.0,101.9,58.8,Mesomorph
174.9,84.4,38.1,87.4,31.4,107.2,63.2,Endomorph
179.3,75.6,45.1,97.9,31.0,94.7,55.9,Endomorph
177.3,88.7,40.5,84.3,32.6,110.6,56.0,Endomorph
186.9,52.0,40.1,71.8,27.0,93.6,44.5,Ectomorph
175.6,78.4,46.7,73.9,34.6,90.3,51.5,Mesomorph
164.5,68.0,49.6,81.8,29.0,96.2,50.2,Mesomorph
177.7,55.3,40.7,77.8,27.9,91.1,48.4,Ectomorph
163.7,66.0,45.2,88.6,25.7,113.2,54.1,Endomorph
170.8,77.2,43.4,77.3,30.4,94.0,57.2,Endomorph
180.7,68.2,44.3,84.0,27.1,110.0,59.4,Endomorph
173.7,64.5,42.8,82.3,25.8,111.6,58.1,Endomorph
185.2,78.6,44.7,80.0,26.4,93.7,51.7,Mesomorph
181.5,56.6,37.2,73.9,22.2,87.1,45.1,Ectomorph
164.7,84.9,42.0,91.9,34.3,114.7,55.0,Endomorph
183.8,58.0,39.5,65.9,22.4,82.8,46.6,Ectomorph
157.1,54.2,36.2,76.7,26.7,84.9,48.6,Ectomorph
182.5,56.8,38.7,77.2,26.1,91.9,40.1,Ectomorph
177.6,71.7,45.7,76.3,35.0,95.6,59.3,Mesomorph
166.3,74.8,43.7,78.5,30.1,93.3,52.3,Endomorph
152.9,65.3,45.9,81.0,31.5,101.1,51.3,Mesomorph
151.5,71.3,39.6,81.0,34.8,93.0,52.7,Endomorph
168.1,65.8,40.0,92.6,33.4,102.2,57.6,Endomorph
165.6,70.4,38.9,91.2,33.1,96.4,54.8,Endomorph
155.5,76.4,40.1,75.3,29.8,98.4,58.6,Endomorph
152.2,72.4,44.5,71.6,31.3,104.7,54.9,Mesomorph
188.0,72.8,43.1,76.4,32.8,101.8,53.9,Mesomorph
181.5,61.3,37.1,76.3,27.4,83.2,45.6,Ectomorph
161.5,65.4,42.3,72.5,27.3,101.9,53.6,Mesomorph
151.2,65.4,46.8,77.6,32.0,106.0,51.9,Endomorph
165.6,83.1,45.4,75.6,30.4,103.3,64.6,Endomorph
182.8,59.4,38.4,73.8,20.7,85.5,40.4,Ectomorph
178.7,70.2,39.5,77.2,29.0,94.3,52.1,Endomorph
155.9,47.6,40.4,67.0,23.7,94.5,41.2,Ectomorph
172.1,57.7,39.3,68.8,23.0,88.2,48.6,Ectomorph
181.4,66.3,41.4,75.8,25.7,109.9,55.1,Endomorph
188.6,68.5,48.3,78.6,31.8,108.7,53.7,Mesomorph
170.1,73.4,50.0,84.5,30.7,97.7,53.0,Mesomorph
176.4,68.7,41.8,77.4,26.7,84.9,48.5,Ectomorph
150.4,61.3,41.1,63.7,22.0,92.6,44.1,Ectomorph
158.0,59.4,40.5,60.5,21.1,94.6,40.3,Ectomorph
162.7,58.6,39.4,64.1,21.7,82.2,43.2,Ectomorph
