Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",150
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",81
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,153
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",65
Ectomorph,Endomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",140
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",113
Endomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",171
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",107
Ectomorph,Endomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",84
Ectomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",113
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",110
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",125
Endomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",158
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",178
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",99
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",67
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",107
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",101
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",69
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",170
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",172
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",137
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",174
Ectomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",93
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",149
Mesomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,175
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",88
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",87
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",160
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",144
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",95
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",112
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",99
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",71
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",131
Mesomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",99
Mesomorph,Endomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",108
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",156
Ectomorph,Endomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,159
Endomorph,Ectomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",61
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",103
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",137
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",75
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",180
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",128
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",81
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",110
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",103
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",120
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",161
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",78
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",146
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",78
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,67
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",154
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",114
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",61
Endomorph,Ectomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",74
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",61
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",86
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",68
Endomorph,Mesomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,108
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",134
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",60
Endomorph,Ectomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,65
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",135
Endomorph,Ectomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",104
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,151
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",85
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",65
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",107
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,100
Endomorph,Mesomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,130
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",123
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",158
Endomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,111
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",86
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",155
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",124
Mesomorph,Ectomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",137
Endomorph,Mesomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,161
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",94
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",97
Mesomorph,Ectomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,80
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",125
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",95
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",125
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",166
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",83
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",107
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",110
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",71
Ectomorph,Endomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,162
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",162
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",113
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",144
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",173
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",108
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,124
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",174
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",143
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",137
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",110
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",69
Ectomorph,Endomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",73
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",144
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",70
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",143
Ectomorph,Endomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",112
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",87
Mesomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,62
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",148
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",132
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",180
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,128
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",90
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",179
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",152
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",148
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,160
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",90
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",122
